Sample,Borehole,Type,Aliquot,true depth,W wet,Water-rock mass ratio,bulk mass [g] nom,bulk mass [g] sigma,volume [ccm/piece] nom,volume [ccm/piece] sigma,shape,surface area [scm/piece] nom,surface area [scm/piece] sigma
IG_BH03_PW002,BH03,IsoEx LAB,A,225.2169,0.00197595,0.001979862,310.231,0.05,5,1,sphere,,
IG_BH03_PW003,BH03,IsoEx LAB,A,321.1929,0.00169929,0.001702183,298.36,0.05,5,1,sphere,,
IG_BH03_PW005,BH03,IsoEx LAB,A,427.2129,0.00216706,0.002171766,383.931,0.05,5,1,sphere,,
IG_BH03_PW007,BH03,IsoEx LAB,A,468.7839,0.00164685,0.001649567,410.481,0.05,5,1,sphere,,
IG_BH03_PW009,BH03,IsoEx LAB,A,515.8419,0.00202878,0.002032904,325.319,0.05,5,1,sphere,,
IG_BH03_PW011,BH03,IsoEx LAB,A,566.3409,0.00178545,0.001788644,310.846,0.05,5,1,sphere,,
IG_BH03_PW014,BH03,IsoEx LAB,A,622.5129,0.00138462,0.00138654,338.72,0.05,5,1,sphere,,
IG_BH03_PW015,BH03,IsoEx LAB,A,717.7449,0.00172246,0.001725432,343.113,0.05,5,1,sphere,,
IG_BH03_PW017,BH03,IsoEx LAB,A,818.9289,0.00163061,0.001633273,390.038,0.05,5,1,sphere,,
IG_BH03_PW019,BH03,IsoEx LAB,A,915.9279,0.00177316,0.00177631,391.956,0.05,5,1,sphere,,
IG_BH03_PW002,BH03,IsoEx ICE,A,225.2169,0.00218455,0.002189333,309.903,0.05,5,1,sphere,,
IG_BH03_PW003,BH03,IsoEx ICE,A,321.1929,0.00176542,0.001768542,293.415,0.05,5,1,sphere,,
IG_BH03_PW005,BH03,IsoEx ICE,A,427.2129,0.00210507,0.002109511,385.735,0.05,5,1,sphere,,
IG_BH03_PW007,BH03,IsoEx ICE,A,468.7839,0.00184435,0.001847758,415.323,0.05,5,1,sphere,,
IG_BH03_PW009,BH03,IsoEx ICE,A,515.8419,0.00209003,0.002094407,327.268,0.05,5,1,sphere,,
IG_BH03_PW011,BH03,IsoEx ICE,A,566.3409,0.00190087,0.00190449,305.124,0.05,5,1,sphere,,
IG_BH03_PW014,BH03,IsoEx ICE,A,622.5129,0.00172531,0.001728292,335.592,0.05,5,1,sphere,,
IG_BH03_PW015,BH03,IsoEx ICE,A,717.7449,0.00187682,0.001880349,342.601,0.05,5,1,sphere,,
IG_BH03_PW017,BH03,IsoEx ICE,A,818.9289,0.00196519,0.00196906,396.399,0.05,5,1,sphere,,
IG_BH03_PW019,BH03,IsoEx ICE,A,915.9279,0.0023119,0.002317257,389.291,0.05,5,1,sphere,,
IG_BH03_PW002,BH03,PWoutdiff,A,225.2169,0.00222648,0.002231448,1459.255,0.05,552.346181,4.653952719,core,420.6435484,2.477878306
IG_BH03_PW003,BH03,PWoutdiff,A,321.1929,0.00193769,0.001941452,1444.5,0.05,544.0328357,4.607242621,core,416.3818208,2.465411268
IG_BH03_PW005,BH03,PWoutdiff,A,427.2129,0.00226382,0.002268957,1480.681,0.05,556.3624794,4.673181589,core,423.6847671,2.483041857
IG_BH03_PW007,BH03,PWoutdiff,A,468.7839,0.00212554,0.002130068,1474.45,0.05,552.7142107,4.651897298,core,422.1026611,2.477401405
IG_BH03_PW009,BH03,PWoutdiff,A,515.8419,0.00236868,0.002374304,1470.02,0.05,551.6335107,4.647602503,core,420.9834687,2.476217917
IG_BH03_PW011,BH03,PWoutdiff,A,566.3409,0.00216005,0.002164726,1489.78,0.05,561.1135807,4.698833936,core,426.3926629,2.489870244
IG_BH03_PW014,BH03,PWoutdiff,A,622.5129,0.00177771,0.001780876,1527.808,0.05,578.3561334,4.787886933,core,437.6992549,2.513699851
IG_BH03_PW015,BH03,PWoutdiff,A,717.7449,0.00207633,0.00208065,1544.553,0.05,583.0320799,4.812210743,core,440.7654493,2.52021727
IG_BH03_PW017,BH03,PWoutdiff,A,818.9289,0.0017924,0.001795618,1453.355,0.05,547.3779878,4.62864383,core,417.3857168,2.471120866
IG_BH03_PW019,BH03,PWoutdiff,A,915.9279,0.00169604,0.001698921,1492.304,0.05,563.1593073,4.709345662,core,427.734123,2.492680571
IG_BH03_PW002,BH03,PW,A,225.2169,0.00231162,0.002316976,160.926,0.05,,,core,,
IG_BH03_PW003,BH03,PW,A,321.1929,0.00179257,0.001795789,174.61,0.05,,,core,,
IG_BH03_PW005,BH03,PW,A,427.2129,0.00205289,0.002057113,201.18,0.05,,,core,,
IG_BH03_PW007,BH03,PW,A,468.7839,0.00194361,0.001947395,206.317,0.05,,,core,,
