Sample,Borehole,Type,true depth,bulk mass b.e. [g] nom,bulk mass a.e [g],dry mass [g] nom,bulk mass b.e. [g] sigma,dry mass [g] sigma,diameter core [cm] nom,diameter core [cm] sigma,height core [cm] nom,height core [cm] sigma,volume core [ccm] nom,volume core [ccm] sigma,surface area core [scm] nom,surface area core [scm] sigma,bulk density nom,bulk density sigma,dry density nom,dry density sigma
IG_BH03_AQ001,BH03,AQ,222.2409,451.92,,,0.05,0.05,6.12,0.02,5.81,0.1,170.910544602401,3.14661753440719,170.53947224453,2.06360783449071,2.64419027539422,0.0486828108741658,,
IG_BH03_AQ002,BH03,AQ,321.9369,406.769,,,0.05,0.05,6.09,0.02,5.28,0.1,153.800727294197,3.08308573093811,159.276391342512,2.04225696090382,2.6447794308665,0.053018182451129,,
IG_BH03_AQ003,BH03,AQ,428.0499,404.613,,,0.05,0.05,6.09,0.02,5.23,0.1,152.344281013002,3.07996460468843,158.319776379494,2.04116012793776,2.65591197325923,0.0536959288827605,,
IG_BH03_AQ004,BH03,AQ,469.0629,405.695,,,0.05,0.05,6.08,0.02,5.32,0.1,154.45738299065,3.07602750683882,159.683384670785,2.03997523428853,2.62658211698795,0.0523095328732126,,
IG_BH03_AQ005,BH03,AQ,516.0279,392.703,,,0.05,0.05,6.09,0.02,5.1,0.1,148.557520681895,3.07197425117324,155.832577475647,2.03832826074195,2.6434407238183,0.0546639155607575,,
IG_BH03_AQ006,BH03,AQ,566.1549,408.148,,,0.05,0.05,6.1,0.02,5.26,0.1,153.7217413717,3.09142327252227,159.25047320312,2.04498097734255,2.65510913653454,0.0533966008342935,,
IG_BH03_AQ007,BH03,AQ,619.4439,254.074,,,0.05,0.05,6.11,0.02,3.27,0.1,95.8782402767675,2.99848915051587,121.409204292468,2.00795395196353,2.64996519821991,0.0828764606610167,,
IG_BH03_AQ008,BH03,AQ,717.9309,413.148,,,0.05,0.05,6.09,0.02,5.35,0.1,155.83975208787,3.08749980137036,160.615652290738,2.04379965096851,2.65110791351264,0.052524774700759,,
IG_BH03_AQ009,BH03,AQ,818.6499,369.282,,,0.05,0.05,6.09,0.02,4.76,0.1,138.653685969768,3.05193592920631,149.327595727124,2.03105848057689,2.66334066359056,0.0586244699335817,,
IG_BH03_AQ010,BH03,AQ,916.2069,379.19,,,0.05,0.05,6.08,0.02,4.91,0.1,142.55371249701,3.05105208268026,151.852022503916,2.03107315573169,2.65997983046533,0.0569321617778672,,
